id,work_id,user_id
1,41,20
2,41,21
3,41,22
4,47,42
5,47,23
6,47,24
7,47,25
8,9,26
9,9,29
10,9,2
11,36,4
12,3,81
13,9,27
14,20,17
15,45,36
16,49,13
17,17,24
18,20,67
19,33,76
20,11,37
21,33,32
22,20,2
23,44,1
24,13,22
25,40,52
26,19,69
27,33,88
28,31,90
29,22,16
30,41,30
31,50,64
32,28,2
33,4,95
34,37,56
35,27,100
36,24,63
37,20,95
38,23,64
39,2,21
40,49,26
41,22,95
42,13,39
43,52,42
44,26,100
45,28,34
46,22,69
47,16,32
48,26,55
49,47,62
50,11,26
51,5,62
52,14,30
53,25,93
54,40,83
55,21,92
56,50,78
57,6,46
58,6,63
59,2,30
